k,train_accuracy,val_accuracy,overfit_gap
1,0.9996958333333333,0.9980875,0.0016083333333333227
3,0.9988083333333333,0.9978375,0.0009708333333332542
5,0.998275,0.9975625,0.0007125000000000048
7,0.9978833333333333,0.9972375,0.0006458333333333455
9,0.9977333333333334,0.9971125,0.0006208333333334037
11,0.9975375,0.9968625,0.0006749999999999812
13,0.9973875,0.99675,0.0006374999999999575
15,0.997225,0.996625,0.0006000000000000449
17,0.997075,0.99655,0.0005249999999999977
19,0.9969875,0.9963625,0.0006249999999999867
21,0.996825,0.9963375,0.00048749999999997407
23,0.9966083333333333,0.9962125,0.000395833333333373
25,0.9964541666666666,0.9961375,0.0003166666666666318
27,0.9963333333333333,0.9960375,0.000295833333333273
29,0.9962,0.995925,0.0002750000000000252
31,0.9960583333333334,0.995775,0.00028333333333341315
33,0.9958583333333333,0.9954875,0.00037083333333332025
35,0.9957916666666666,0.9955375,0.00025416666666666643
37,0.99575,0.9955125,0.0002375000000000016
39,0.9955875,0.9953375,0.00024999999999997247
41,0.9954833333333334,0.995275,0.0002083333333333659
43,0.9953125,0.995,0.00031250000000004885
45,0.9952208333333333,0.9948625,0.0003583333333333494
47,0.9951333333333333,0.9948125,0.00032083333333332575
49,0.9950208333333334,0.9947625,0.0002583333333333604
