feature,coefficient,abs_coefficient
Fwd Seg Size Min,-2.0184114341164765,2.0184114341164765
Init Bwd Win Byts,0.9617169659763283,0.9617169659763283
SYN Flag Cnt,0.7285955468429653,0.7285955468429653
Fwd Pkt Len Max,-0.6582821520125643,0.6582821520125643
Protocol_6,0.6548056590872235,0.6548056590872235
Protocol_17,-0.5858993998703728,0.5858993998703728
PSH Flag Cnt,-0.5426148615275512,0.5426148615275512
Fwd PSH Flags,-0.4983174733405602,0.4983174733405602
Pkt Len Min,-0.47830393186458303,0.47830393186458303
Fwd Pkt Len Min,-0.41793253379495954,0.41793253379495954
Protocol_0,-0.33279191720916484,0.33279191720916484
Down/Up Ratio,0.3325815904015563,0.3325815904015563
Init Fwd Win Byts,-0.3270625329729925,0.3270625329729925
URG Flag Cnt,-0.32347255373668127,0.32347255373668127
FIN Flag Cnt,-0.27175478750027904,0.27175478750027904
Fwd Pkt Len Std,-0.2451719880473949,0.2451719880473949
RST Flag Cnt,-0.22274813321093073,0.22274813321093073
Bwd Pkt Len Min,-0.2036731637409248,0.2036731637409248
Fwd IAT Min,-0.20117249691805839,0.20117249691805839
Flow IAT Std,0.18932764401291854,0.18932764401291854
Pkt Len Std,0.18461713774914104,0.18461713774914104
Bwd Pkt Len Max,-0.16659774758950877,0.16659774758950877
Pkt Size Avg,0.1542745513176102,0.1542745513176102
Bwd Pkts/s,-0.1527652712285284,0.1527652712285284
ACK Flag Cnt,0.14066050850540035,0.14066050850540035
Flow Pkts/s,-0.13599913434654162,0.13599913434654162
Flow IAT Max,0.1355585498245718,0.1355585498245718
Pkt Len Mean,0.1339395775352921,0.1339395775352921
ECE Flag Cnt,-0.1338066781673699,0.1338066781673699
Fwd IAT Tot,-0.12942775473853776,0.12942775473853776
Flow IAT Mean,0.12839349797219599,0.12839349797219599
Idle Min,-0.12275747858439769,0.12275747858439769
Fwd IAT Std,0.11924032501227165,0.11924032501227165
Pkt Len Max,-0.1154447059565905,0.1154447059565905
Idle Mean,-0.11511705263268711,0.11511705263268711
Fwd Pkts/s,-0.10479448799663359,0.10479448799663359
Idle Max,-0.10104189597734346,0.10104189597734346
Fwd IAT Mean,-0.09226138439982155,0.09226138439982155
Flow IAT Min,0.07330069258252535,0.07330069258252535
Bwd IAT Min,-0.07123929222038844,0.07123929222038844
Bwd IAT Std,0.07068443134782681,0.07068443134782681
Bwd Pkt Len Std,0.05292293929260452,0.05292293929260452
Fwd IAT Max,-0.0521707435465121,0.0521707435465121
Subflow Fwd Byts,0.05186172164941693,0.05186172164941693
TotLen Fwd Pkts,0.05186172164941693,0.05186172164941693
Active Max,0.04611921530065249,0.04611921530065249
Bwd IAT Mean,0.04605917525155145,0.04605917525155145
Bwd IAT Tot,-0.04038803483434336,0.04038803483434336
Bwd PSH Flags,-0.037415112024315654,0.037415112024315654
Flow Byts/s,0.0353461839912196,0.0353461839912196
Bwd IAT Max,0.031154412778510433,0.031154412778510433
Fwd Act Data Pkts,-0.029948180388779635,0.029948180388779635
Active Std,0.027092348136391015,0.027092348136391015
Pkt Len Var,-0.01575373689214613,0.01575373689214613
Fwd Header Len,0.012599029875804375,0.012599029875804375
Fwd Seg Size Avg,-0.009617441641551818,0.009617441641551818
Fwd Pkt Len Mean,-0.00961744164155095,0.00961744164155095
TotLen Bwd Pkts,0.00807934874686852,0.00807934874686852
Subflow Bwd Byts,0.00807934874686852,0.00807934874686852
Bwd Seg Size Avg,-0.007255539490909422,0.007255539490909422
Bwd Pkt Len Mean,-0.007255539490909011,0.007255539490909011
Tot Bwd Pkts,-0.005991347794447638,0.005991347794447638
Subflow Bwd Pkts,-0.005991347794447638,0.005991347794447638
Bwd Header Len,-0.005244493293090112,0.005244493293090112
Idle Std,0.004783726918909115,0.004783726918909115
Active Mean,0.003324869829866718,0.003324869829866718
Active Min,-0.0020551947350663435,0.0020551947350663435
Subflow Fwd Pkts,0.001293653154754734,0.001293653154754734
Tot Fwd Pkts,0.001293653154754734,0.001293653154754734
Flow Duration,-0.0007348471472987984,0.0007348471472987984
Bwd URG Flags,0.0,0.0
Fwd URG Flags,0.0,0.0
Bwd Blk Rate Avg,0.0,0.0
Bwd Byts/b Avg,0.0,0.0
Fwd Blk Rate Avg,0.0,0.0
Fwd Pkts/b Avg,0.0,0.0
Fwd Byts/b Avg,0.0,0.0
CWE Flag Count,0.0,0.0
Bwd Pkts/b Avg,0.0,0.0
