C,class_weight,train_accuracy,val_accuracy,overfit_gap
0.0001,none,0.9776666666666667,0.97875,-0.001083333333333325
0.000774263682681127,none,0.9809166666666667,0.9815,-0.0005833333333333801
0.005994842503189409,none,0.9825833333333334,0.9825,8.333333333332416e-05
0.046415888336127774,none,0.985,0.9855,-0.000500000000000056
0.3593813663804626,none,0.9849166666666667,0.985,-8.333333333332416e-05
2.782559402207126,none,0.985,0.98525,-0.00024999999999997247
21.54434690031882,none,0.985,0.98525,-0.00024999999999997247
166.81005372000558,none,0.985,0.98525,-0.00024999999999997247
1291.5496650148827,none,0.985,0.98525,-0.00024999999999997247
10000.0,none,0.985,0.98525,-0.00024999999999997247
0.0001,balanced,0.9776666666666667,0.97875,-0.001083333333333325
0.000774263682681127,balanced,0.9809166666666667,0.9815,-0.0005833333333333801
0.005994842503189409,balanced,0.9825833333333334,0.9825,8.333333333332416e-05
0.046415888336127774,balanced,0.985,0.9855,-0.000500000000000056
0.3593813663804626,balanced,0.9849166666666667,0.985,-8.333333333332416e-05
2.782559402207126,balanced,0.985,0.98525,-0.00024999999999997247
21.54434690031882,balanced,0.985,0.98525,-0.00024999999999997247
166.81005372000558,balanced,0.985,0.98525,-0.00024999999999997247
1291.5496650148827,balanced,0.985,0.98525,-0.00024999999999997247
10000.0,balanced,0.985,0.98525,-0.00024999999999997247
